JUNE 1

2025-07-01 10:06:00, 2025-07-01 10:09:05, ICEYE-X27
2025-07-01 10:11:55, 2025-07-01 10:22:25, ICEYE-X49
2025-07-01 10:14:05, 2025-07-01 10:24:40, ICEYE-X47
2025-07-01 10:24:05, 2025-07-01 10:33:00, ICEYE-X34
2025-07-01 10:31:30, 2025-07-01 10:42:55, ICEYE-X40
2025-07-01 10:31:40, 2025-07-01 10:43:00, ICEYE-X33
2025-07-01 10:32:25, 2025-07-01 10:42:40, ICEYE-X14
2025-07-01 10:33:00, 2025-07-01 10:43:25, ICEYE-X21
2025-07-01 10:41:50, 2025-07-01 10:51:00, ICEYE-X8
2025-07-01 10:43:00, 2025-07-01 10:54:55, ICEYE-X39
2025-07-01 10:44:25, 2025-07-01 10:55:15, ICEYE-X35
2025-07-01 11:06:15, 2025-07-01 11:17:20, ICEYE-X31
2025-07-01 11:33:25, 2025-07-01 11:45:15, ICEYE-X43
2025-07-01 11:50:45, 2025-07-01 12:03:10, ICEYE-X49
2025-07-01 11:53:00, 2025-07-01 12:05:25, ICEYE-X47
2025-07-01 11:56:30, 2025-07-01 12:06:20, ICEYE-X34
2025-07-01 12:07:05, 2025-07-01 12:17:20, ICEYE-X33
2025-07-01 12:07:05, 2025-07-01 12:17:15, ICEYE-X40
2025-07-01 13:54:20, 2025-07-01 14:04:20, ICEYE-X38
2025-07-01 14:07:45, 2025-07-01 14:17:00, ICEYE-X30
2025-07-01 14:08:35, 2025-07-01 14:17:05, ICEYE-X26
2025-07-01 14:29:30, 2025-07-01 14:40:40, ICEYE-X7      14h30 --> 14h36 X7 
2025-07-01 14:34:55, 2025-07-01 14:44:50, ICEYE-X23     14h37 --> 14h44 X23    
2025-07-01 14:59:55, 2025-07-01 15:09:55, ICEYE-X25
2025-07-01 15:00:35, 2025-07-01 15:12:15, ICEYE-X36
2025-07-01 15:28:20, 2025-07-01 15:39:10, ICEYE-X38    15h28 --> 15h40 
2025-07-01 15:40:15, 2025-07-01 15:49:15, ICEYE-X26
2025-07-01 15:40:15, 2025-07-01 15:48:55, ICEYE-X30
2025-07-01 15:43:50, 2025-07-01 15:52:35, ICEYE-X17    15h44 --> 15h49 
2025-07-01 15:48:00, 2025-07-01 16:00:05, ICEYE-X6     15h49 -->  16h00
2025-07-01 16:30:40, 2025-07-01 16:39:45, ICEYE-X20    YES  
2025-07-01 16:48:10, 2025-07-01 16:58:15, ICEYE-X11    YES
2025-07-01 17:11:00, 2025-07-01 17:20:35, ICEYE-X13    YES
2025-07-01 17:54:00, 2025-07-01 18:05:05, ICEYE-X4     YES 
2025-07-01 18:13:00, 2025-07-01 18:21:20, ICEYE-X15    YES     
2025-07-01 18:38:10, 2025-07-01 18:48:50, ICEYE-X49    
2025-07-01 18:40:20, 2025-07-01 18:51:10, ICEYE-X47
2025-07-01 18:42:35, 2025-07-01 18:53:10, ICEYE-X5
2025-07-01 20:17:40, 2025-07-01 20:30:05, ICEYE-X49
2025-07-01 20:19:55, 2025-07-01 20:32:20, ICEYE-X47
2025-07-01 21:22:50, 2025-07-01 21:34:30, ICEYE-X2
2025-07-01 21:35:20, 2025-07-01 21:44:30, ICEYE-X31
2025-07-01 21:45:45, 2025-07-01 21:55:20, ICEYE-X27
2025-07-01 22:12:00, 2025-07-01 22:23:45, ICEYE-X43
2025-07-01 22:19:45, 2025-07-01 22:29:50, ICEYE-X34
2025-07-01 22:23:10, 2025-07-01 22:33:30, ICEYE-X14
2025-07-01 22:24:15, 2025-07-01 22:33:15, ICEYE-X8
2025-07-01 22:24:50, 2025-07-01 22:35:05, ICEYE-X21
2025-07-01 22:42:25, 2025-07-01 22:53:15, ICEYE-X35
2025-07-01 22:44:05, 2025-07-01 22:56:20, ICEYE-X33
2025-07-01 22:44:50, 2025-07-01 22:57:10, ICEYE-X40
2025-07-01 22:56:25, 2025-07-01 23:08:40, ICEYE-X39
2025-07-01 23:08:10, 2025-07-01 23:18:35, ICEYE-X31
2025-07-01 23:48:15, 2025-07-01 23:57:55, ICEYE-X43
-------------------


JUNE 2

2025-07-02 01:23:40, 2025-07-02 01:33:35, ICEYE-X25
2025-07-02 01:36:55, 2025-07-02 01:48:10, ICEYE-X36
2025-07-02 01:57:20, 2025-07-02 02:06:40, ICEYE-X26
2025-07-02 01:59:25, 2025-07-02 02:09:30, ICEYE-X30
2025-07-02 02:02:05, 2025-07-02 02:13:40, ICEYE-X38
2025-07-02 02:08:30, 2025-07-02 02:19:10, ICEYE-X7
2025-07-02 02:24:20, 2025-07-02 02:34:35, ICEYE-X23
2025-07-02 02:57:10, 2025-07-02 03:06:00, ICEYE-X25
2025-07-02 03:12:30, 2025-07-02 03:22:15, ICEYE-X36
2025-07-02 03:18:05, 2025-07-02 03:27:00, ICEYE-X17
2025-07-02 03:36:50, 2025-07-02 03:48:00, ICEYE-X6
2025-07-02 04:08:15, 2025-07-02 04:17:25, ICEYE-X20
2025-07-02 04:38:05, 2025-07-02 04:48:25, ICEYE-X11
2025-07-02 04:54:25, 2025-07-02 05:03:55, ICEYE-X13
2025-07-02 05:12:00, 2025-07-02 05:22:10, ICEYE-X6
2025-07-02 05:42:55, 2025-07-02 05:51:05, ICEYE-X15
2025-07-02 07:07:10, 2025-07-02 07:18:00, ICEYE-X4
2025-07-02 07:49:25, 2025-07-02 07:59:55, ICEYE-X5
2025-07-02 09:06:20, 2025-07-02 09:17:15, ICEYE-X2
2025-07-02 09:44:20, 2025-07-02 09:53:05, ICEYE-X8
2025-07-02 09:52:15, 2025-07-02 10:00:50, ICEYE-X14
2025-07-02 09:54:20, 2025-07-02 10:04:00, ICEYE-X21
2025-07-02 10:03:00, 2025-07-02 10:14:15, ICEYE-X49
2025-07-02 10:03:15, 2025-07-02 10:12:40, ICEYE-X43
2025-07-02 10:05:10, 2025-07-02 10:16:30, ICEYE-X47
2025-07-02 10:18:10, 2025-07-02 10:27:50, ICEYE-X35
2025-07-02 10:34:05, 2025-07-02 10:45:30, ICEYE-X33
2025-07-02 10:35:40, 2025-07-02 10:47:20, ICEYE-X40
2025-07-02 10:40:50, 2025-07-02 10:50:40, ICEYE-X27
2025-07-02 10:41:05, 2025-07-02 10:50:30, ICEYE-X2
2025-07-02 10:46:20, 2025-07-02 10:57:35, ICEYE-X31
2025-07-02 10:46:50, 2025-07-02 10:58:50, ICEYE-X39
2025-07-02 11:24:10, 2025-07-02 11:33:20, ICEYE-X14
2025-07-02 11:25:35, 2025-07-02 11:36:25, ICEYE-X34
2025-07-02 11:37:20, 2025-07-02 11:49:00, ICEYE-X43
2025-07-02 11:42:25, 2025-07-02 11:54:40, ICEYE-X49
2025-07-02 11:44:40, 2025-07-02 11:56:50, ICEYE-X47
2025-07-02 11:51:15, 2025-07-02 12:01:00, ICEYE-X35
2025-07-02 12:09:35, 2025-07-02 12:19:40, ICEYE-X33
2025-07-02 12:11:35, 2025-07-02 12:21:20, ICEYE-X40
2025-07-02 13:48:20, 2025-07-02 13:57:50, ICEYE-X38
2025-07-02 14:09:55, 2025-07-02 14:21:15, ICEYE-X7

2025-07-02 14:29:50, 2025-07-02 14:40:35, ICEYE-X25 <-- #1
2025-07-02 14:55:20, 2025-07-02 15:05:30, ICEYE-X26 <-- #2 up to 3p
2025-07-02 14:59:00, 2025-07-02 15:10:45, ICEYE-X36
2025-07-02 15:00:55, 2025-07-02 15:11:15, ICEYE-X30
2025-07-02 15:22:00, 2025-07-02 15:33:05, ICEYE-X38
2025-07-02 15:23:40, 2025-07-02 15:33:15, ICEYE-X23
2025-07-02 15:47:55, 2025-07-02 16:00:05, ICEYE-X6     <-- Full 
2025-07-02 16:00:30, 2025-07-02 16:09:10, ICEYE-X17
2025-07-02 16:06:40, 2025-07-02 16:14:45, ICEYE-X11   <-- 16:08 to 16:15
2025-07-02 16:16:00, 2025-07-02 16:24:10, ICEYE-X13   <-- FULL 
2025-07-02 16:54:25, 2025-07-02 17:03:05, ICEYE-X20   <-- FULL  
2025-07-02 17:36:15, 2025-07-02 17:46:40, ICEYE-X4     
2025-07-02 17:38:10, 2025-07-02 17:47:25, ICEYE-X11
2025-07-02 17:47:15, 2025-07-02 17:55:20, ICEYE-X13    <-- FULL

2025-07-02 18:13:55, 2025-07-02 18:23:15, ICEYE-X5    <-- Up to 20 then switch
2025-07-02 18:20:10, 2025-07-02 18:28:30, ICEYE-X15   <-- FULL  
2025-07-02 18:29:30, 2025-07-02 18:40:50, ICEYE-X49   
2025-07-02 18:31:45, 2025-07-02 18:43:05, ICEYE-X47
2025-07-02 19:10:35, 2025-07-02 19:19:45, ICEYE-X4
2025-07-02 19:46:45, 2025-07-02 19:56:05, ICEYE-X5
2025-07-02 20:09:15, 2025-07-02 20:21:30, ICEYE-X49
2025-07-02 20:11:30, 2025-07-02 20:23:45, ICEYE-X47
2025-07-02 21:12:15, 2025-07-02 21:23:50, ICEYE-X2
2025-07-02 21:26:30, 2025-07-02 21:35:30, ICEYE-X8
2025-07-02 21:42:45, 2025-07-02 21:52:15, ICEYE-X14
2025-07-02 21:45:50, 2025-07-02 21:56:05, ICEYE-X21
2025-07-02 22:15:45, 2025-07-02 22:27:40, ICEYE-X43
2025-07-02 22:15:55, 2025-07-02 22:26:20, ICEYE-X35
2025-07-02 22:26:55, 2025-07-02 22:36:35, ICEYE-X27
2025-07-02 22:46:30, 2025-07-02 22:58:45, ICEYE-X33
2025-07-02 22:47:55, 2025-07-02 22:59:00, ICEYE-X31
2025-07-02 22:49:10, 2025-07-02 23:01:30, ICEYE-X40
2025-07-02 23:00:15, 2025-07-02 23:12:25, ICEYE-X39
2025-07-02 23:22:00, 2025-07-02 23:32:15, ICEYE-X34


JUNE 3
-------------------
2025-07-03 01:35:25, 2025-07-03 01:46:35, ICEYE-X36
2025-07-03 01:41:50, 2025-07-03 01:50:25, ICEYE-X23
2025-07-03 01:49:30, 2025-07-03 01:59:05, ICEYE-X7
2025-07-03 01:55:55, 2025-07-03 02:07:20, ICEYE-X38
2025-07-03 02:26:25, 2025-07-03 02:36:55, ICEYE-X25
2025-07-03 02:44:20, 2025-07-03 02:54:25, ICEYE-X26
2025-07-03 02:53:05, 2025-07-03 03:03:05, ICEYE-X30
2025-07-03 03:10:50, 2025-07-03 03:20:45, ICEYE-X36
2025-07-03 03:13:35, 2025-07-03 03:22:35, ICEYE-X23
2025-07-03 03:22:50, 2025-07-03 03:32:50, ICEYE-X7
2025-07-03 03:34:35, 2025-07-03 03:43:25, ICEYE-X17
2025-07-03 03:36:45, 2025-07-03 03:48:00, ICEYE-X6
2025-07-03 03:56:15, 2025-07-03 04:05:35, ICEYE-X11
2025-07-03 03:59:10, 2025-07-03 04:07:55, ICEYE-X13
2025-07-03 04:32:00, 2025-07-03 04:40:45, ICEYE-X20
2025-07-03 05:12:00, 2025-07-03 05:22:10, ICEYE-X6
2025-07-03 05:28:50, 2025-07-03 05:37:15, ICEYE-X11
2025-07-03 05:49:55, 2025-07-03 05:58:10, ICEYE-X15
